,1,4,5,7,8,11,13,16,18,20,23
1,0,7,4,4,3,0,3,11,3,5,0
4,2,0,8,6,3,1,2,0,13,2,0
5,6,9,0,7,12,2,3,7,9,11,0
7,4,9,8,0,13,1,8,15,23,9,4
8,0,3,0,16,0,1,6,13,15,5,1
11,0,0,0,0,1,0,6,2,1,2,0
13,0,1,0,3,7,2,0,16,9,3,4
16,1,0,2,23,24,6,12,0,7,23,0
18,0,12,8,17,10,1,8,11,0,3,2
20,9,3,10,13,8,0,5,22,6,0,0
23,0,0,0,1,0,0,4,3,1,1,0
