,1,3,5,6,7,8,9,11,14,15,16,4,10,18
1,0,10,1,0,1,1,0,6,2,3,0,0,0,0
3,5,0,4,3,2,4,3,8,8,4,0,0,1,1
5,3,4,0,0,0,4,0,6,2,0,0,0,1,0
6,0,2,0,0,1,13,3,5,7,6,0,0,5,1
7,0,0,0,1,0,4,1,5,3,0,0,0,3,0
8,2,3,4,18,8,0,2,8,9,5,10,0,5,2
9,1,0,0,0,0,1,0,2,1,3,2,0,0,0
11,0,2,4,6,9,11,2,0,19,2,1,0,2,3
14,1,3,3,7,7,11,1,9,0,7,8,0,3,0
15,0,11,2,9,2,8,2,1,5,0,12,0,1,1
16,1,6,1,9,4,16,1,7,9,11,0,0,1,3
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,3,2,5,0,0,3,3,3,0,0,3
18,0,0,0,0,1,3,0,3,0,0,2,0,0,0
